"I";"years";"drivers";"constructors"
1;1950;632;0
2;1951;570;0
3;1952;638;0
4;1953;638;0
5;1954;570;0
6;1955;570;0
7;1956;570;0
8;1957;570;0
9;1958;569;145
10;1959;364;97
11;1960;364;97
12;1961;409;1
13;1962;297;66
14;1963;381;101
15;1964;349;1
16;1965;381;101
17;1966;364;90
18;1967;312;90
19;1968;297;28
20;1969;336;89
21;1970;367;28
22;1971;336;22
23;1972;231;28
24;1973;336;28
25;1974;231;2
26;1975;182;1
27;1976;239;1
28;1977;182;1
30;1979;229;1
31;1980;178;8
32;1981;134;8
33;1982;177;1
34;1983;134;1
35;1984;182;2
36;1985;116;2
37;1986;116;8
38;1987;134;8
39;1988;101;2
40;1989;116;2
41;1990;101;2
42;1991;101;2
43;1992;143;8
44;1993;116;8
45;1994;31;8
46;1995;31;19
47;1996;72;8
48;1997;38;8
49;1998;63;2
50;1999;63;1
51;2000;31;1
52;2001;31;1
53;2002;31;1
54;2003;31;1
55;2004;31;1
56;2005;5;4
57;2006;5;4
58;2007;3;1
59;2008;1;1
60;2009;18;12
61;2010;8;7
62;2011;8;7
63;2012;8;7
