"id_grandprix";"id_track";"days";"months";"years";"bestlap_driver_id";"betlap_lap";"bestlap_time";"weather";"notes";"qnotes";"last_modification"
1;1;3;6;2005;5;"24";"1.25.683";"Пасмурно, тепло, сухо";"Михаэль Шумахер и Такума Сато перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Запланировано 58 кругов, но дистанция сокращена на один круг из-за прерванного старта и дополнительного формирующего круга (Кими Райкконен заглох на стартовом поле). Кими Райкконен стартовал с пит-лейн.";;
2;2;20;3;2005;3;"23";"1.35.483";"Солнечно, очень жарко, сухо";"Патрик Фризахер перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Джанкарло Физикелла предупрежден за инициирование столкновения с Марком Уэббером.";;
3;3;4;3;2005;40;"43";"1.31.447";"Солнечно, очень жарко, сухо";"Кристиан Алберс, Патрик Фризахер и Рубенс Баррикелло перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.";;
4;20;24;4;2005;31;"48";"1.21.858";"Пасмурно, тепло, сухо";"Фелипе Масса, Патрик Фризахер и Кристиан Алберс перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Ральф Шумахер наказан 25-секундным штрафом за опасный маневр на пит-лейн. Команда BAR (Дженсон Баттон и Такума Сато) дисквалифицирована в этой гонке и двух последующих, а также наказана условной дисквалификацией на 6 месяцев с отсрочкой приговора на год за махинации с весом автомобиля.";;
5;4;5;8;2005;19;"66";"1.15.641";"Солнечно, тепло, сухо";"Ник Хайдфельд, Рубенс Баррикелло и Тьягу Монтейру перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.";;
6;6;22;5;2005;31;"40";"1.15.842";"Солнечно, тепло, сухо";"Квалификационный результат Ральфа Шумахера увеличен на полсекунды за использование чужой шины на тренировке.Результат первой квалификации Хуана-Пабло Монтойи аннулирован за инициирование столкновения Жака Вильнева, Дэвида Култарда и Ральфа Шумахера на тренировке. Нараин Картикеян и Ральф Шумахер перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Рубенс Баррикелло наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.";;
7;12;29;5;2005;5;"44";"1.30.711";"Переменная облачность, жарко, сухо";"Запланировано 60 кругов, но дистанция сокращена на один круг из-за прерванного старта и дополнительного формирующего круга (Джанкарло Физикелла заглох на стартовом поле). Джанкарло Физикелла стартовал с пит-лейн. Ярно Трулли наказан штрафом ""проезд через пит-лейн"" за то, что механики продолжали обслуживать автомобиль на стартовом поле менее чем за 15 секунд до старта формирующего круга. Дэвид Култард наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн. Кристиан Алберс и Тьягу Монтейру наказаны штрафом ""проезд через пит-лейн"" за игнорирование синих флагов.";;
8;7;6;12;2005;3;"23";"1.14.384";"Облачно, жарко, сухо";"Рубенс Баррикелло стартовал с пит-лейн. Хуан-Пабло Монтойя дисквалифицирован за то, что покинул пит-лейн на красный свет.";;
9;19;19;6;2005;31;"48";"1.11.497";"Пасмурно, тепло, сухо";"Все команды, использующие шины Michelin (BAR, Renault, Williams, McLaren, Sauber, Reb Bull и Toyota) отказались стартовать в гонке из-за проблем с шинами.";;
10;8;7;3;2005;3;"25";"1.16.423";"Солнечно, жарко, сухо";"Кими Райкконен перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.";;
