DataElement_ID,Num_DataElement_ID,Type,Sequence,Value,Short_Description,Container_Name,DataElement_Name
B9CB37BB-B00D-5382-DA2B-0F1A77946294,133,Column,1,No,,DIM_ENGINE,CHARGE_INDICATOR,
B9CB37BB-B00D-5382-DA2B-0F1A77946294,133,Column,2,Yes,,DIM_ENGINE,CHARGE_INDICATOR,
2F31F7AB-AD38-3403-EC2F-29A46E8B65F8,183,Column,1,No,,DIM_DAY,LAST_DAY_IN_MONTH_INDICATOR,
2F31F7AB-AD38-3403-EC2F-29A46E8B65F8,183,Column,2,Yes,,DIM_DAY,LAST_DAY_IN_MONTH_INDICATOR,
B0881836-9E32-2030-0317-B3CE73293DB5,184,Column,1,No,,DIM_DAY,LAST_DAY_IN_QUARTER_INDICATOR,
B0881836-9E32-2030-0317-B3CE73293DB5,184,Column,2,Yes,,DIM_DAY,LAST_DAY_IN_QUARTER_INDICATOR,
8D129B95-D8E0-F408-E8DF-9D71C608BC1E,185,Column,1,No,,DIM_DAY,LAST_DAY_IN_WEEK_INDICATOR,
8D129B95-D8E0-F408-E8DF-9D71C608BC1E,185,Column,2,Yes,,DIM_DAY,LAST_DAY_IN_WEEK_INDICATOR,
B26AF657-F708-28F6-25BA-0EB812D5CA13,186,Column,1,No,,DIM_DAY,LAST_DAY_IN_YEAR_INDICATOR,
B26AF657-F708-28F6-25BA-0EB812D5CA13,186,Column,2,Yes,,DIM_DAY,LAST_DAY_IN_YEAR_INDICATOR,
30CDB8A8-7AAB-C2C1-45B0-3B4C57853F18,187,Column,1,No,,DIM_SEASON,LEAP_YEAR_INDICATOR,
30CDB8A8-7AAB-C2C1-45B0-3B4C57853F18,187,Column,2,Yes,,DIM_SEASON,LEAP_YEAR_INDICATOR,
