Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
ALPHA_CODE,3A6E837F-59A7-464F-1107-3EC19F259C2F,128,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,N,Domain,,N,,,,C9601624-FCFA-EACB-CE40-3D048651A507,33,LOGDT024,109,,,,,,,,,N,Short code,VARCHAR,,,,N,Y,DIM_COUNTRY,,,VARCHAR,7,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,3,,,
AVERAGE_SPEED,AC13DB2C-F3B2-34E0-3126-42487DAC4459,129,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,N,Domain,,N,,,,DOM10006,28,LOGDT019,81,,,,,,,,,Y,Numeric,NUMERIC,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,,NUMERIC,5,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
BIRTHDAY_ID,CE2AEFE7-E1E3-6309-D07B-91EA82A556EF,130,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_DRIVER,,F,INTEGER,7,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
BIRTHDAY_PLACE,537FC8E5-A9D3-2400-2CB7-DF388D93DBDE,131,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Y,Domain,,N,,,,DOM3000005,39,LOGDT024,109,,,,,,,,,Y,Text,VARCHAR,,,,N,Y,DIM_DRIVER,,,VARCHAR,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
CENTURY,07FAA352-631F-0217-313E-0FE1B0198302,132,,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,Y,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,Y,Small number,SMALLINT,,,,N,Y,DIM_SEASON,,,SMALLINT,5,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
CHARGE_INDICATOR,B9CB37BB-B00D-5382-DA2B-0F1A77946294,133,,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,Y,Domain,,N,,,,A9389037-2A36-13A7-91F8-751E63F39ABD,8,LOGDT024,109,,,,,,,,,Y,Code_Yes_No,VARCHAR,,,,N,Y,DIM_ENGINE,,,VARCHAR,7,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,3,,,
CHASSIS_ID,8FED3FA0-B4BE-BAA6-959E-86D235191F5A,134,,DDAA11B5-3E55-1F63-63D7-301E36B9FD5F,115,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_CHASSIS,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
CHASSIS_ID,3EE399EC-F235-BFD7-2AEE-07CD9A2E272F,135,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,F,INTEGER,14,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
CILINDER_FORMAT,74115C41-41CB-3EC2-BB5A-E921C30CD508,136,,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,Y,Domain,,N,,,,11CDF23C-4BAB-2354-8394-2162ED34BCB9,6,LOGDT024,109,,,,,,,,,Y,Code,VARCHAR,,,,N,Y,DIM_ENGINE,,,VARCHAR,6,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,32,,,
CITY,5EF92753-0F3E-DDC6-19C5-93D55758B43E,137,,726CE839-6848-A7D0-8E54-2C6362C72643,125,Y,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_TRACK,,,VARCHAR,8,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
CODE,01495A4E-9EC2-8895-8C50-18D908BD5B2B,138,,DDAA11B5-3E55-1F63-63D7-301E36B9FD5F,115,Y,Domain,,N,,,,11CDF23C-4BAB-2354-8394-2162ED34BCB9,6,LOGDT024,109,,,,,,,,,Y,Code,VARCHAR,,,,N,Y,DIM_CHASSIS,,,VARCHAR,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,32,,,
CODE,34162929-1056-F925-EB51-83A3290A838D,139,,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,Y,Domain,,N,,,,11CDF23C-4BAB-2354-8394-2162ED34BCB9,6,LOGDT024,109,,,,,,,,,Y,Code,VARCHAR,,,,N,Y,DIM_ENGINE,,,VARCHAR,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,32,,,
CODE,94C89C91-6241-3269-85DD-D237BBF0DDDA,140,,2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,Y,Domain,,N,,,,11CDF23C-4BAB-2354-8394-2162ED34BCB9,6,LOGDT024,109,,,,,,,,,Y,Code,VARCHAR,,,,N,Y,DIM_GRAND_PRIX,,,VARCHAR,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,32,,,
