ObjectID,NumOID,Type,Sequence,Text
DDAA11B5-3E55-1F63-63D7-301E36B9FD5F,115,Table,1,"CHASSIS - шасси гоночного автомобиля",
2442F951-6B65-9607-CF72-8013B4C6E38B,116,Table,1,"COUNTRY - страна",
25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Table,1,"DAY - день",
8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Table,1,"DRIVER - гонщик (пилот)",
744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,Table,1,"ENGINE - двигатель гоночного автомобиля",
2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,Table,1,"GRAND_PRIX - гран при (гоночный уикенд)",
CF63D479-C754-03CB-A268-814AFF768BF6,121,Table,1,"POSITION_ATTRIBUTES - атрибуты, связанные с позицией пилота на финише гонки",
3E5D7780-D524-CA2B-A5B5-B59B93BC0876,122,Table,1,"RACE_ATTRIBUTES - различные дополнительные гоночные характеристики",
7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,Table,1,"SEASON - сезон (год) чемпионата",
D969EC08-5497-8E29-BE7F-1D0471616AFE,124,Table,1,"TEAM - команда",
726CE839-6848-A7D0-8E54-2C6362C72643,125,Table,1,"TRACK - трасса",
43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,Table,1,"TYRES - шины, устанавливаемые на гоночный автомобиль",
F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Table,1,"GRAND_PRIX_RESULTS - результаты гран при с детализацией до гонщика",
3A6E837F-59A7-464F-1107-3EC19F259C2F,128,Column,1,"ALPHA_CODE - код страны (3-x буквенный код по стандарту ISO 3166). Источник: http://base.consultant.ru/cons/cgi/online.cgi?req=doc;base=LAW;n=94405;fld=134;dst=4294967295.",
AC13DB2C-F3B2-34E0-3126-42487DAC4459,129,Column,1,"AVERAGE_SPEED - средняя скорость",
CE2AEFE7-E1E3-6309-D07B-91EA82A556EF,130,Column,1,"BIRTHDAY_ID - дата рождения",
537FC8E5-A9D3-2400-2CB7-DF388D93DBDE,131,Column,1,"BIRTHDAY_PLACE - место рождения",
07FAA352-631F-0217-313E-0FE1B0198302,132,Column,1,"CENTURY - век",
B9CB37BB-B00D-5382-DA2B-0F1A77946294,133,Column,1,"CHARGE_INDICATOR - признак наддувного двигателя",
8FED3FA0-B4BE-BAA6-959E-86D235191F5A,134,Column,1,"CHASSIS_ID - суррогатный ключ",
3EE399EC-F235-BFD7-2AEE-07CD9A2E272F,135,Column,1,"CHASSIS_ID - шасси, на котором выступает гонщик",
74115C41-41CB-3EC2-BB5A-E921C30CD508,136,Column,1,"FORMAT - формат двигателя (число и расположение цилиндров)",
5EF92753-0F3E-DDC6-19C5-93D55758B43E,137,Column,1,"CITY - город, в котором находится трасса",
01495A4E-9EC2-8895-8C50-18D908BD5B2B,138,Column,1,"CODE - кодовое обозначение",
34162929-1056-F925-EB51-83A3290A838D,139,Column,1,"CODE - кодовое обозначение",
94C89C91-6241-3269-85DD-D237BBF0DDDA,140,Column,1,"CODE - кодовое обозначение",
EB373834-7C12-CBFA-4073-FA5C679C225F,141,Column,1,"CODE - кодовое обозначение",
610F1724-8D78-7476-16F8-22A02C54FFCE,142,Column,1,"CONSTRUCTOR - команда (как правило) или организация разработчик шасси",
448E74FF-9E26-B5BD-F916-E5DDCEB0B25B,143,Column,1,"COUNTRY_ID - суррогатный ключ",
AB93EA7B-7C3B-D09A-00AA-943CDD733612,144,Column,1,"COUNTRY_ID - страна, которую представляет гонщик",
9AE047B3-70AA-374F-57B8-294943D40921,145,Column,1,"COUNTRY_ID - страна за которую выступает команда",
B079C813-9903-3CFE-BD5E-EEC0F45B2B65,146,Column,1,"COUNTRY_ID - страна, на территории которой расположена трасса",
27DB0BF2-FCBD-904F-F56A-7357DE7927C4,147,Column,1,"COUNTRY_NAME - название страны. Источник: http://base.consultant.ru/cons/cgi/online.cgi?req=doc;base=LAW;n=94405;fld=134;dst=4294967295.",
1612689F-E7D9-A035-6F63-AAB17A1832C5,148,Column,1,"DAY_DATE - календарная дата",
459B593A-E9DD-2FE5-28FE-6583C1466D37,149,Column,1,"DAY_ID - суррогатный ключ",
A2F0F1E6-2959-E104-8715-ACAA7E19F864,150,Column,1,"DAY_IN_MONTH_NUMBER - день в месяце",
70D140A1-EF0C-4398-DFB4-4807B5DBCF6D,151,Column,1,"DAY_IN_YEAR_NUMBER - день в году",
823A6581-2AB1-7BA4-C911-39F11B190595,152,Column,1,"DAY_OF_WEEK_NAME - день недели",
B1324AF6-1A57-F82E-6E83-A5883DB0E1C2,153,Column,1,"DEATH_DAY_ID - дата смерти (гибели)",
B0523772-C83F-42B0-04F3-7C6C5EC233C2,154,Column,1,"DEATH_PLACE - место смерти",
D6EF5273-B602-E3AC-66FF-73463B161D53,155,Column,1,"DECADE - десятилетие",
BBA6336A-C333-E0B5-42F7-2D461F30DB23,156,Column,1,"DEVELOP_DATE - дата (год) разработки",
2E2A8D3D-8A57-C270-7224-373323B1C4BE,157,Column,1,"DEVELOP_DATE - дата (год) разработки",
2CC892AD-F6FC-B982-34DA-E1D569747197,158,Column,1,"DISPLACEMENT - объем двигателя",
90829735-9621-A18C-D84D-BEFF06F0025E,159,Column,1,"DRIVER_ID - суррогатный ключ",
6173B674-5BE1-1510-C2EF-DD02D44E325B,160,Column,1,"DRIVER_ID - гонщик",
BC11B12F-B4A1-1312-C707-9853F3621E51,161,Column,1,"DRIVER_NUMBER - номер гонщика в чемпионате",
219F364D-D5A9-FCF3-6B4D-41E4F743FCC8,162,Column,1,"TEAM_ID - команда, за которую выступает гонщик",
38EA0E9F-0DC0-505E-27E7-E6D033E10270,163,Column,1,"ENGINE_ID - суррогатный ключ",
D4CA2D07-FD48-0CB6-0EEC-569C71F91D31,164,Column,1,"ENGINE_ID - двигатель гоночного автомобиля",
21340F3A-61A9-AFAC-1134-0470CA529439,165,Column,1,"ERA - так называемая эра (эпоха) в гонках. Определяется доминирующей технологией",
C443A30A-914D-95A4-676C-EDDAB236D2BA,166,Column,1,"FASTEST_LAP_TIME - время бысрейшего круга в гонке",
CD9FFF85-5D09-0EE0-73AE-EA9E6536B6AD,167,Column,1,"FINISH_TIME - время на финише",
4BECA86A-486B-A197-C913-99208EE70126,168,Column,1,"FULL_NAME - полное имя",
D587AF79-5DB4-ADE6-8853-1B5A59360808,169,Column,1,"FULL_NAME - Полное официальное наименование команды",
1C89BF47-9E04-7554-E672-090C16E297F0,170,Column,1,"GRAND_PRIX_ID - суррогатный ключ",
1725E01C-09B8-50B1-F987-C974721110D5,171,Column,1,"GRAND_PRIX_ID - гран при",
2A945EF2-3E63-248A-56FD-9C61A4DE7793,172,Column,1,"GRID_PENALTY - причина потери мест на старте",
5A79D112-BCE2-7053-F619-027BC51BDA31,173,Column,1,"HALF_IN_YEAR_NUMBER - половина года",
57A4FF27-E6B2-5838-22D0-5ACED7024D90,174,Column,1,"HALF_POINTS_INDICATOR - признак того, что за гонку начислили половину очков",
B9652C99-7988-2241-19D9-5176EA2D8AB8,175,Column,1,"INFO - дополнительная информация",
35B2A179-782E-D0C7-0C56-6C0FA82A8F3D,176,Column,1,"INFO - дополнительная информация",
2952DB65-CEA4-137B-8B32-F56802BAE8F5,177,Column,1,"INFO - дополнительная информация",
7063C3A3-39BB-39C9-796D-6A0DB1C5D8B9,178,Column,1,"INFO - Дополнительная информация",
5765FF0A-FF69-628C-7603-4B25DE9336C6,179,Column,1,"INFO - дополнительная информация",
CBC4C2AC-35EF-AF1F-A5A0-3BE363B12B6F,180,Column,1,"INFO - дополнительная информация",
