Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
DOM2022961,BigNumber,1,,LOGDT011,74,,,,INTEGER,Integer,
DOM2024960,Binary,2,,LOGDT033,54,,,,BLOB,BINARY,
DOM2024970,Bit,3,,LOGDT034,57,1,,,CHAR,BIT,
DOM2006400,Blob,4,,LOGDT029,58,100,,,BLOB,BLOB,
DOM10009,Clob,5,,LOGDT028,61,,,,CLOB,CLOB,
11CDF23C-4BAB-2354-8394-2162ED34BCB9,Code,6,,LOGDT024,109,32,,,VARCHAR,VARCHAR,
DOM2022950,Code_Y_N,7,,LOGDT024,109,1,,,VARCHAR,VARCHAR,
A9389037-2A36-13A7-91F8-751E63F39ABD,Code_Yes_No,8,,LOGDT024,109,3,,,VARCHAR,VARCHAR,
DOM2025220,DBURIType,9,,LOGDT054,63,,,,DBURITYPE,DBURIType,
DOM2024950,DataLink,10,,LOGDT030,62,,,,BLOB,DATALINK,
DOM3000001,Date,11,,LOGDT007,66,,,,DATE,Date,
DOM2025100,Datetime,12,,LOGDT008,67,,,,DATE,Datetime,
DOM10007,Decimal,13,,LOGDT026,64,,,,NUMBER,DECIMAL,
DOM10004,Double,14,,LOGDT020,65,,,,NUMBER,DOUBLE,
DOM3000007,Euro currency,15,,LOGDT022,88,,9,2,REAL,REAL,
BAB387E5-AD75-5F95-BBEF-DFFAD3FB5D6E,Flag 0_1,16,,LOGDT019,81,1,,,NUMERIC,NUMERIC,
DOM10005,Float,17,,LOGDT021,68,,,,FLOAT,FLOAT,
DOM2025190,HTTPURIType,18,,LOGDT052,70,,,,HTTPURITYPE,HTTPURIType,
14F48E0E-DF1C-AC38-8523-33D121C6C4CE,Id,19,,LOGDT011,74,,,,INTEGER,Integer,
DOM2005275,Image,20,,LOGDT010,73,16336,,,BLOB,Image,
DOM2001277,LongText,21,,LOGDT024,109,4000,,,VARCHAR,VARCHAR,
DOM2025070,Money,22,,LOGDT043,77,,,,NUMBER,MONEY,
DOM2022958,Month,23,,LOGDT011,74,,,,INTEGER,Integer,
DOM2024980,NChar,24,,LOGDT035,78,,,,NCHAR,NCHAR,
DOM2024990,NText,25,,LOGDT036,80,,,,NCLOB,NTEXT,
DOM2025000,NVarchar,26,,LOGDT037,82,,,,NVARCHAR2,NVARCHAR,
1D7D9011-142E-55D0-7032-3A93DEA0D695,Name,27,,LOGDT024,109,256,,,VARCHAR,VARCHAR,
DOM10006,Numeric,28,,LOGDT019,81,,,,NUMERIC,NUMERIC,
DOM10008,ROWID,29,,LOGDT032,89,,,,ROWID,ROWID,
DOM10002,Real,30,,LOGDT022,88,,,,REAL,REAL,
DOM2025090,SQL_Variant,31,,LOGDT045,94,,,,SYS.ANYDATA,SQL_VARIANT,
DOM2025675,Short Text,32,,LOGDT024,109,32,,,VARCHAR,VARCHAR,
C9601624-FCFA-EACB-CE40-3D048651A507,Short code,33,,LOGDT024,109,3,,,VARCHAR,VARCHAR,
BE9B540E-A6CF-85F4-7978-797BDD30B28D,Short name,34,,LOGDT024,109,16,,,VARCHAR,VARCHAR,
DOM3000006,Small number,35,,LOGDT018,92,,,,SMALLINT,SMALLINT,
DOM2025010,SmallDateTime,36,,LOGDT038,91,,,,DATE,SMALLDATETIME,
DOM2025080,SmallMoney,37,,LOGDT044,93,,,,NUMBER,SMALLMONEY,
DOM2025020,SysName,38,,LOGDT039,95,,,,VARCHAR2,SYSNAME,
DOM3000005,Text,39,,LOGDT024,109,256,,,VARCHAR,VARCHAR,
F463B71D-791B-D518-B9D2-8B83F473EA0C,Time,40,,LOGDT015,104,,,,TIMESTAMP,Timestamp,
DOM10003,Timestamp,41,,LOGDT015,104,,,,TIMESTAMP,Timestamp,
DOM2025060,TinyInt,42,,LOGDT042,102,,,,SMALLINT,TINYINT,
C11C98AA-467B-CB81-6287-4045C89DC380,TyresTread,43,,LOGDT024,109,128,,,VARCHAR,VARCHAR,
DOM2025170,UNIQUEIDENTIFIER,44,,LOGDT057,105,,,,CHAR,UNIQUEIDENTIFIER,
DOM2025180,URIType,45,,LOGDT051,106,,,,URITYPE,URIType,
DOM3000004,Unknown,46,,LOGDT017,50,,,,UNKNOWN,unknown,
DOM2025050,VarBinary,47,,LOGDT041,108,,,,BLOB,VARBINARY,
DOM2025200,XDBURIType,48,,LOGDT053,112,,,,XDBURITYPE,XDBURIType,
5BD9CBEF-3EA6-78A7-B6F7-11A75B0ACFA1,Year,49,,LOGDT018,92,4,,,SMALLINT,SMALLINT,
