Logical_Type_ID,Num_Logical_Type_ID,LT_Name
LOGDT017,50,unknown,
LOGDT005,51,Audio,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,52,BFile,
LOGDT027,53,BIGINT,
LOGDT033,54,BINARY,
LOGDT056,55,BINARY DOUBLE,
LOGDT055,56,BINARY FLOAT,
LOGDT034,57,BIT,
LOGDT029,58,BLOB,
LOGDT006,59,Boolean,
LOGDT025,60,CHAR,
LOGDT028,61,CLOB,
LOGDT030,62,DATALINK,
LOGDT054,63,DBURIType,
LOGDT026,64,DECIMAL,
LOGDT020,65,DOUBLE,
LOGDT007,66,Date,
LOGDT008,67,Datetime,
LOGDT021,68,FLOAT,
LOGDT031,69,GRAPHIC,
LOGDT052,70,HTTPURIType,
LOGDT049,71,INTERVAL DAY TO SECOND,
LOGDT048,72,INTERVAL YEAR TO MONTH,
LOGDT010,73,Image,
LOGDT011,74,Integer,
LogDes-1768A872-F385-FDBA-D95E-0CB63F5908E2@LOGDT10045,75,Long Char,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10036,76,Long_Raw,
LOGDT043,77,MONEY,
LOGDT035,78,NCHAR,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10035,79,NClob,
LOGDT036,80,NTEXT,
LOGDT019,81,NUMERIC,
LOGDT037,82,NVARCHAR,
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10005,83,ORDAUDIO,
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10009,84,ORDDOC,
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10006,85,ORDIMAGE,
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10007,86,ORDIMAGE_SIGNATURE,
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10008,87,ORDVIDEO,
LOGDT022,88,REAL,
LOGDT032,89,ROWID,
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10040,90,Raw,
LOGDT038,91,SMALLDATETIME,
LOGDT018,92,SMALLINT,
LOGDT044,93,SMALLMONEY,
LOGDT045,94,SQL_VARIANT,
LOGDT039,95,SYSNAME,
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10010,96,SYS_ANYDATA,
LogDes-22E251EB-9F6C-8137-56B2-DD4B87DC1E33@LOGDT10030,97,SYS_ANYDATASET,
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10011,98,SYS_ANYTYPE,
LOGDT040,99,TEXT,
LOGDT047,100,TIMESTAMP WITH LOCAL TIME ZONE,
LOGDT046,101,TIMESTAMP WITH TIME ZONE,
LOGDT042,102,TINYINT,
LOGDT014,103,Time,
LOGDT015,104,Timestamp,
LOGDT057,105,UNIQUEIDENTIFIER,
LOGDT051,106,URIType,
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10041,107,URowID,
LOGDT041,108,VARBINARY,
LOGDT024,109,VARCHAR,
LOGDT023,110,VARGRAPHIC,
LOGDT016,111,Video,
LOGDT053,112,XDBURIType,
LOGDT050,113,XMLType,
