Table_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Engineer,Spatial_Table,OID_is_PK,OID_is_User_Defined,Include_Scripts_Into_DDL
DIM_CHASSIS,DDAA11B5-3E55-1F63-63D7-301E36B9FD5F,115,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,5,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
DIM_COUNTRY,2442F951-6B65-9607-CF72-8013B4C6E38B,116,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,11,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
DIM_DAY,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,20,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
DIM_DRIVER,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,10,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
DIM_ENGINE,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,8,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
DIM_GRAND_PRIX,2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,7,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
DIM_POSITION_ATTRIBUTES,CF63D479-C754-03CB-A268-814AFF768BF6,121,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,6,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
DIM_RACE_ATTRIBUTES,3E5D7780-D524-CA2B-A5B5-B59B93BC0876,122,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,4,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
DIM_SEASON,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,6,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
DIM_TEAM,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,8,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
DIM_TRACK,726CE839-6848-A7D0-8E54-2C6362C72643,125,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,11,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
DIM_TYRES,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,5,2,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
FACT_GRAND_PRIX_RESULTS,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,,,,20,1,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
