Adams (Indy only);
AFM;Germany	
AGS;France	
Aiden-Cooper;
Alfa Romeo;Italy	
Alta;
Amon;
Andrea Moda;
Apollon;
Arrows;Great Britain	
Arzani-Volpini;
Aston;
Aston Martin;
ATS;Germany	
ATS (Ita);Italy	
Balsa;
BAR;
Behra-Porsche;
Bellasi;
Benetton;
BMW;
Boro;
Brabham;Great Britain	
Brawn;Great Britain	
BRM;Great Britain	
Bromme (Indy only);
BRP;Great Britain	
Bugatti;Italy	
Caterham;
Christensen (Indy only);
Cisitalia;
Coloni;Italy	
Connaught;Great Britain	
Connew;
Cooper;Great Britain	
Dallara;Italy	
De Klerk;
De Tomaso;
Deidt (Indy only);
Del Roy (Indy only);
Derrington-Francis;
Dunn (Indy only);
Eagle;
Eifelland;
Elder (Indy only);
Emeryson;Great Britain	
EMW;
ENB;
Ensign;Great Britain	
Epperly (Indy only);
ERA;
EuroBrun;Italy	
Ewing (Indy only);
Ferguson;Great Britain	
Ferrari;
Fittipaldi;Brazil	
Fondmetal;
Footwork;
Force India;Great Britain	
Forti;
Frazer-Nash;Great Britain	
Fry;
Gilby;
Gordini;France	
Greifzu;
Hall (Indy only);
Heck;
Hesketh;Great Britain	
Hill;Great Britain	
Hispania;
Honda;Japan	
HWM;Great Britain	
Iso Marlboro;
Jaguar;
JBW;
Jordan;
Kauhsen;
Klenk;
Kojima;
Krakau;
Kurtis Kraft;
Kuzma (Indy only);
Lambo;
Lancia;Italy	
Langley (Indy only);
Larrousse;
LDS;
LEC;
Lesovsky (Indy only);
Leyton House;Great Britain	
Life;
Ligier;France	
Lola;
Lotus;Great Britain	
Lyncar;
Maki;
March;Great Britain	
Marchese (Indy only);
Martini;
Marussia;
Maserati;Italy	
Matra;France	
McGuire;
McLaren;
Mercedes;Germany	
Merzario;Italy	
Meskowski (Indy only);
Midland;
Milano;
Minardi;
Monteverdi;
Moore (Indy only);
Nacke;
Nichels (Indy only);
Olson (Indy only);
Onyx;Great Britain	
OSCA;
Osella;Italy	
Pacific;
Pankratz (Indy only);
Parnelli;USA	
Pawl (Indy only);
Pearce;
Penske;USA	
Phillips (Indy only);
Politoys;
Porsche;Germany	
Prost;
Rae (Indy only);
RAM;
Rebaque;
Red Bull;
Reif;
Renault;France	
Rial;Germany	
Sauber;
Scarab;USA	
Schroeder (Indy only);
Scirocco;
Shadow;USA	
Shannon;
Sherman (Indy only);
Simca-Gordini;
Simtek;
Snowberger (Indy only);
Spirit;
Spyker;
Stebro;
Stevens (Indy only);
Stewart;Great Britain	
Super Aguri;
Surtees;Great Britain	
Sutton (Indy only);
Talbot-Lago;France	
Tec-Mec;
Tecno;Italy	
Theodore;Great Britain	
Token;Great Britain	
Toleman;
Toro Rosso;
Toyota;Japan	
Trevis (Indy only);
Trojan;
Turner (Indy only);
Tyrrell;Great Britain	
Vanwall;Great Britain	
Venturi;
Veritas;
Virgin;
Watson (Indy only);
Wetteroth (Indy only);
Williams;
Wolf;Great Britain	
Wolf-Williams;
Zakspeed;Germany	
