"I";"years";"tests_id";"tests_date";"track_name";"tests_pos";"driver_name";"team_name";"tests_time";"tests_laps";"driver_id";"team_id"
120;2012;4;"10 февраля";"Херес";"1";"Фернандо Алонсо";"1";"1:18.877";;;
121;2012;4;"10 февраля";"Херес";"2";"Жан-Эрик Вернь";"6";"1:19.597";;68550706;71107632
122;2012;4;"10 февраля";"Херес";"3";"Себастьян Феттель";"7";"1:19.606";;69271603;70321205
123;2012;4;"10 февраля";"Херес";"4";"Льюис Хэмильтон";"2";"1:19.640";;;
124;2012;4;"10 февраля";"Херес";"5";"Роман Грожан";"4";"1:19.729";;69206069;71042110
125;2012;4;"10 февраля";"Херес";"6";"Камуи Кобаяши";"3";"1:19.834";;68812854;71042096
126;2012;4;"10 февраля";"Херес";"7";"Нико Халкенберг";"10";"1:19.977";;;70911032
128;2012;4;"10 февраля";"Херес";"9";"Ярно Трулли";"53";"1:22.198";;;71107648
129;;;;;;;;;;1179666;1179666
87;2012;1;"7 февраля";"Херес";"1";"Кими Райкконен";"4";"1:19.670";;;
89;2012;1;"7 февраля";"Херес";"3";"Нико Росберг";"12";"1:20.219";;;
92;2012;1;"7 февраля";"Херес";"6";"Михаэль Шумахер";"12";"1:20.794";;;71631928
95;2012;1;"7 февраля";"Херес";"9";"Фелипе Масса";"1";"1:22.815";;;
97;2012;1;"7 февраля";"Херес";"11";"Пастор Мальдонадо";"8";"1:23.371";;;70255647
100;2012;2;"8 февраля";"Херес";"2";"Марк Уэббер";"7";"1:19.184";;;
102;2012;2;"8 февраля";"Херес";"4";"Жюль Бьянки";"10";"1:20.221";;;
105;2012;2;"8 февраля";"Херес";"7";"Фелипе Масса";"1";"1:20.454";;;70976565
107;2012;2;"8 февраля";"Херес";"9";"Серхио Перес";"3";"1:20.711";;;
109;2012;2;"8 февраля";"Херес";"11";"Хейкки Ковалайнен";"53";"1:21.518";;;
112;2012;3;"9 февраля";"Херес";"2";"Роман Грожан";"4";"1:18.419";;;71042110
115;2012;3;"9 февраля";"Херес";"5";"Жан-Эрик Вернь";"6";"1:19.734";;68550709;
117;2012;3;"9 февраля";"Херес";"7";"Фернандо Алонсо";"1";"1:20.412";;;71304245
