Австрия;А1-Ринг;A1 Ring;4323;1997;1997
Австрия;А1-Ринг;A1 Ring;4319;1998;1999
Австрия;А1-Ринг;A1 Ring;4326;2000;2003
Австралия;Аделаида;Adelaide;3780;1985;1995
Япония;Аида;TI Aida;3703;1994;1995
Марокко;Айн-Диаб;Ain Diab;7618;1958;1958
Швеция;Андерсторп;Anderstorp;4018;1973;1977
Швеция;Андерсторп;Anderstorp;4031;1978;1978
Германия;АФУС;AVUS;8300;1959;1959
Индия;Большая Нойда;Greater Noida;5125;2011;2013
Швейцария;Бремгартен;Bremgarten;7280;1950;1954
Соединенное Королевство;Брэндс-Хэтч;Brands Hatch;4265;1964;1974
Соединенное Королевство;Брэндс-Хэтч;Brands Hatch;4206;1976;1986
Аргентина;Буэнос-Айрес;Buenos Aires;3912;1953;1953
Аргентина;Буэнос-Айрес;Buenos Aires;3912;1954;1960
Аргентина;Буэнос-Айрес;Buenos Aires;3345;1972;1973
Аргентина;Буэнос-Айрес;Buenos Aires;5968;1974;1981
Аргентина;Буэнос-Айрес;Buenos Aires;4259;1995;1998
Испания;Валенсия;Valencia;5419;2008;2012
Соединенные Штаты;Даллас;Dallas;3901;1984;1984
Соединенные Штаты;Детройт;Detroit;4012;1982;1982
Соединенные Штаты;Детройт;Detroit;4023;1983;1988
Франция;Дижон-Пренуа;Dijon-Prenois;3289;1974;1974
Франция;Дижон-Пренуа;Dijon-Prenois;3800;1977;1984
Соединенное Королевство;Донингтон-Парк;Donington Park;4023;1993;1993
Бразилия;Жакарепагуа;Jacarepagua;5031;1978;1989
Голландия;Зандфорт;Zandvoort;4193;1952;1971
Голландия;Зандфорт;Zandvoort;4226;1973;1978
Голландия;Зандфорт;Zandvoort;4226;1979;1979
Голландия;Зандфорт;Zandvoort;4252;1980;1985
Бельгия;Зольдер;Zolder;4220;1973;1973
Бельгия;Зольдер;Zolder;4262;1975;1984
Италия;Имола;Imola;5000;1980;1980
Италия;Имола;Imola;5040;1981;1994
Италия;Имола;Imola;4895;1995;1995
Италия;Имола;Imola;4892;1996;1996
Италия;Имола;Imola;4930;1997;1999
Италия;Имола;Imola;4933;2000;2005
Италия;Имола;Imola;4959;2006;2006
Соединенные Штаты;Индианаполис;Indianapolis;4023;1950;1960
Соединенные Штаты;Индианаполис;Indianapolis;4192;2000;2007
Бразилия;Интерлагос;Interlagos;7960;1973;1977
Бразилия;Интерлагос;Interlagos;7874;1979;1980
Бразилия;Интерлагос;Interlagos;4325;1990;1996
Бразилия;Интерлагос;Interlagos;4292;1997;1999
Бразилия;Интерлагос;Interlagos;4309;2000;2013
Южная Африка;Ист-Лондон;East London;3920;1962;1965
Южная Корея;Йонам;Yeongam;5615;2010;2013
Испания;Каталунья-Монмело;Catalunya Montmelo;4747;1991;1993
Испания;Каталунья-Монмело;Catalunya Montmelo;4747;1994;1994
Испания;Каталунья-Монмело;Catalunya Montmelo;4727;1995;1996
Испания;Каталунья-Монмело;Catalunya Montmelo;4728;1997;1999
Испания;Каталунья-Монмело;Catalunya Montmelo;4730;2000;2003
Испания;Каталунья-Монмело;Catalunya Montmelo;4627;2004;2006
Испания;Каталунья-Монмело;Catalunya Montmelo;4655;2007;2013
Франция;Клермон-Ферран;Clermont Ferrand;8055;1965;1972
Южная Африка;Кьялами;Kyalami;4094;1967;1967
Южная Африка;Кьялами;Kyalami;4104;1968;1985
Южная Африка;Кьялами;Kyalami;4261;1992;1993
Соединенные Штаты;Лас-Вегас;Las Vegas;3640;1981;1981
Соединенные Штаты;Лас-Вегас;Las Vegas;3650;1982;1982
Франция;Ле-Ман (кольцо Бугатти);Bugatti au Mans;4442;1967;1967
Соединенные Штаты;Лонг-Бич;Long Beach;3251;1976;1977
Соединенные Штаты;Лонг-Бич;Long Beach;3251;1978;1981
Соединенные Штаты;Лонг-Бич;Long Beach;3428;1982;1982
Соединенные Штаты;Лонг-Бич;Long Beach;3275;1983;1983
Франция;Маньи-Кур;Magny Cours;4271;1991;1991
Франция;Маньи-Кур;Magny Cours;4250;1992;1999
Франция;Маньи-Кур;Magny Cours;4251;2000;2002
Франция;Маньи-Кур;Magny Cours;4411;2003;2008
Австралия;Мельбурн;Melbourne;5302;1996;1997
Австралия;Мельбурн;Melbourne;5303;1998;2013
